Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
0             0             +266.067      +740.851      +318.041      +41.4372      -1778.78      -302.651      +1366.4       -2081.43      -715.034      
1             1             +252.197      +758.515      +312.19       +49.0457      -1730.55      -291.615      +1371.95      -2022.17      -650.218      
2             2             +242.702      +741.838      +298.639      +44.4598      -1746.74      -298.948      +1327.64      -2045.69      -718.052      
3             3             +231.82       +720.879      +307.515      +40.4661      -1768.62      -297.647      +1300.68      -2066.27      -765.587      
4             4             +250.985      +730.249      +326.483      +43.805       -1781.64      -288.773      +1351.52      -2070.41      -718.889      
5             5             +247.55       +705.555      +316.449      +38.696       -1755.17      -299.019      +1308.25      -2054.19      -745.939      
6             6             +229.072      +715.732      +316.287      +39.4588      -1747.3       -302.745      +1300.55      -2050.05      -749.495      
7             7             +248.382      +723.71       +322.968      +42.9756      -1724.6       -312.003      +1338.04      -2036.6       -698.562      
8             8             +257.179      +711.302      +323.763      +46.6628      -1748.12      -312.379      +1338.91      -2060.5       -721.59       
9             9             +246.835      +742.156      +319.35       +46.3234      -1737.29      -322.85       +1354.66      -2060.14      -705.473      
10            10            +235.013      +699.389      +296.378      +50.8834      -1705.26      -316.245      +1281.66      -2021.51      -739.846      
11            11            +216.28       +726.446      +311.189      +38.1071      -1701.57      -317.074      +1292.02      -2018.64      -726.616      
12            12            +246.178      +733.011      +297.587      +42.7287      -1769.89      -292.955      +1319.5       -2062.85      -743.344      
13            13            +232.827      +748.154      +307.801      +46.1028      -1759.49      -289.301      +1334.89      -2048.79      -713.904      
14            14            +240.108      +717.863      +328.401      +43.366       -1744.16      -290.849      +1329.74      -2035         -705.267      
15            15            +238.728      +726.924      +314.409      +43.2183      -1769.29      -281.607      +1323.28      -2050.9       -727.619      
16            16            +236.725      +773.196      +318.227      +44.5501      -1752.28      -284.259      +1372.7       -2036.54      -663.838      
17            17            +211.56       +752.102      +298.937      +44.9382      -1734.83      -282.829      +1307.54      -2017.66      -710.124      
18            18            +249.683      +714.716      +324.152      +46.729       -1789.97      -273.805      +1335.28      -2063.77      -728.493      
19            19            +246.319      +746.276      +324.648      +35.66        -1800.67      -320.804      +1352.9       -2121.47      -768.57       
20            20            +232.571      +755.62       +306.356      +40.2868      -1790.64      -290.681      +1334.83      -2081.32      -746.489      
21            21            +281.678      +709.079      +321.31       +47.5573      -1735.46      -299.591      +1359.62      -2035.06      -675.432      
22            22            +228.623      +738.027      +307.008      +45.6079      -1761.15      -302.125      +1319.27      -2063.27      -744.006      
23            23            +261.748      +701.944      +333.056      +46.5053      -1737.27      -296.173      +1343.25      -2033.44      -690.186      
24            24            +248.302      +722.225      +322.548      +49.3033      -1751.61      -292.402      +1342.38      -2044.01      -701.631      
25            25            +230.926      +740.834      +307.838      +48.3287      -1740.17      -301.791      +1327.93      -2041.96      -714.029      
26            26            +225.622      +739.264      +317.418      +38.5503      -1782.09      -290.103      +1320.85      -2072.19      -751.337      
27            27            +238.693      +739.398      +313.51       +46.6067      -1761.21      -301.544      +1338.21      -2062.75      -724.543      
28            28            +234.47       +712.73       +307.356      +40.2815      -1738.61      -284.356      +1294.84      -2022.97      -728.134      
29            29            +258.626      +737.797      +300.478      +34.3035      -1771.41      -292.702      +1331.2       -2064.12      -732.912      
