#TS 	 TEMP
0 	 308.7685
10 	 333.8987
20 	 329.9421
30 	 326.4938
40 	 329.6577
50 	 334.5603
60 	 335.4746
70 	 341.3471
80 	 339.7894
90 	 335.8600
100 	 344.0462
110 	 347.0442
120 	 343.7223
130 	 345.3014
140 	 343.9647
150 	 346.4208
160 	 347.4085
170 	 346.3244
180 	 349.8878
190 	 348.4543
200 	 348.3929
210 	 348.5528
220 	 347.9075
230 	 350.9429
240 	 347.0518
250 	 352.9700
260 	 357.3008
270 	 354.3137
280 	 354.8909
290 	 350.7937
300 	 352.9350
310 	 351.8603
320 	 351.5182
330 	 357.8960
340 	 353.6283
350 	 355.5024
360 	 357.0809
370 	 361.0344
380 	 357.5528
390 	 355.1214
400 	 358.1142
410 	 360.2825
420 	 353.6520
430 	 354.9378
440 	 359.3867
450 	 359.2467
460 	 358.2280
470 	 360.4082
480 	 362.0699
490 	 362.0850
500 	 360.6738
510 	 361.5139
520 	 362.9376
530 	 360.2402
540 	 365.0579
550 	 365.1817
560 	 368.8848
570 	 363.6737
580 	 366.0697
590 	 360.9439
600 	 365.3849
610 	 363.1273
620 	 361.2118
630 	 365.2984
640 	 361.0725
650 	 362.5751
660 	 361.5236
670 	 364.8873
680 	 367.4797
690 	 363.1976
700 	 367.7632
710 	 364.5062
720 	 370.1061
730 	 367.6356
740 	 367.1078
750 	 366.4786
760 	 368.0663
770 	 366.8443
780 	 368.6243
790 	 363.7091
800 	 362.9031
810 	 366.2591
820 	 368.6215
830 	 368.6587
840 	 366.2200
850 	 367.3830
860 	 367.8119
870 	 365.8746
880 	 369.2993
890 	 364.6025
900 	 365.8301
910 	 368.3172
920 	 371.4655
930 	 368.1446
940 	 368.3715
950 	 368.1000
960 	 362.9231
970 	 367.4175
980 	 371.4281
990 	 367.4508
1000 	 363.5511
1010 	 365.2954
1020 	 367.5528
1030 	 365.8439
1040 	 363.1718
1050 	 364.9546
1060 	 363.8269
1070 	 361.8578
1080 	 360.7880
1090 	 365.6905
1100 	 368.7414
1110 	 364.0426
1120 	 364.8417
1130 	 367.6467
1140 	 361.5743
1150 	 365.7145
1160 	 371.7035
1170 	 369.0401
1180 	 366.1324
1190 	 370.9558
1200 	 367.2122
1210 	 365.4178
1220 	 370.2419
1230 	 370.0922
1240 	 367.3396
1250 	 370.2046
1260 	 366.0118
1270 	 365.2873
1280 	 367.3824
1290 	 362.4619
1300 	 368.3410
1310 	 365.5795
1320 	 365.9351
1330 	 358.9568
1340 	 362.7041
1350 	 360.9499
1360 	 366.6075
1370 	 369.7894
1380 	 369.3864
1390 	 363.1792
1400 	 367.7683
1410 	 365.3530
1420 	 367.6634
1430 	 365.5967
1440 	 368.6706
1450 	 372.5819
1460 	 360.7433
1470 	 368.7417
1480 	 366.9116
1490 	 369.6403
1500 	 371.1792
1510 	 377.9419
1520 	 366.9662
1530 	 373.6755
1540 	 373.9471
1550 	 363.0772
1560 	 366.4736
1570 	 370.5139
1580 	 370.1069
1590 	 364.5953
1600 	 367.6027
1610 	 367.6215
1620 	 365.1544
1630 	 362.7160
1640 	 370.3415
1650 	 363.0763
1660 	 367.9399
1670 	 365.5102
1680 	 364.1175
1690 	 367.6515
1700 	 368.7150
1710 	 368.7592
1720 	 364.6679
1730 	 371.7504
1740 	 371.8885
1750 	 364.9096
1760 	 370.3607
1770 	 369.0837
1780 	 370.3729
1790 	 370.3122
1800 	 367.1133
1810 	 372.9219
1820 	 362.9341
1830 	 359.7049
1840 	 369.3693
1850 	 366.9573
1860 	 369.6671
1870 	 368.3783
1880 	 366.1098
1890 	 371.5427
1900 	 370.5784
1910 	 363.4082
1920 	 363.6797
1930 	 366.9522
1940 	 367.9569
1950 	 367.1503
1960 	 369.1624
1970 	 368.6974
1980 	 366.5179
1990 	 371.3143
2000 	 365.1492
2010 	 368.9929
2020 	 368.2684
2030 	 365.9416
2040 	 367.7817
2050 	 367.1469
2060 	 370.4509
2070 	 363.1951
2080 	 363.4334
2090 	 371.8502
2100 	 370.4122
2110 	 366.8804
2120 	 364.5521
2130 	 370.8073
2140 	 369.2195
2150 	 371.8761
2160 	 367.5224
2170 	 366.2105
2180 	 367.8570
2190 	 369.4873
2200 	 367.7581
2210 	 371.3734
2220 	 368.4564
2230 	 371.8116
2240 	 372.2031
2250 	 373.2600
2260 	 367.0463
2270 	 374.2086
2280 	 369.5107
2290 	 370.1799
2300 	 375.0149
2310 	 367.4235
2320 	 372.8066
2330 	 368.4213
2340 	 365.9290
2350 	 369.2820
2360 	 365.0842
2370 	 362.3776
2380 	 368.5010
2390 	 372.0986
2400 	 373.0423
2410 	 371.7821
2420 	 368.8291
2430 	 371.1537
2440 	 369.1038
2450 	 369.8374
2460 	 369.3708
2470 	 368.4658
2480 	 369.3038
2490 	 367.9396
2500 	 366.5789
2510 	 374.5236
2520 	 370.2370
2530 	 366.9176
2540 	 360.8044
2550 	 367.9825
2560 	 374.3030
2570 	 370.5993
2580 	 368.5946
2590 	 368.2556
2600 	 373.7995
2610 	 367.8749
2620 	 372.0479
2630 	 367.9509
2640 	 368.2995
2650 	 375.9392
2660 	 368.3689
2670 	 371.9518
2680 	 369.9980
2690 	 367.7660
